,TimeStamp,Latitude,Longitude,Accuracy
0,1374358660954,344707712,-1173205643,67
1,1374358721164,344700552,-1173351966,37
2,1374358781167,344706525,-1173389089,48
3,1374358841209,344692853,-1172938596,2319
4,1374358900872,344692853,-1172938596,2319
5,1374358916902,344706155,-1173412705,108
6,1374358977414,344692853,-1172938596,2319
7,1374359034164,344757388,-1173373964,2000
8,1374359093910,344757388,-1173373964,2000
9,1374359154078,344757034,-1173373001,1996
10,1374359217813,344757388,-1173373964,2000
11,1374359277877,344757388,-1173373964,2000
12,1374359338191,344757388,-1173373964,2000
13,1374359394845,343865796,-1174115433,2274
14,1374359399873,343865796,-1174115433,1607
15,1374359456586,343865796,-1174115433,2274
16,1374359516759,343865796,-1174115433,2274
17,1374359562188,343683107,-1174280078,4
18,1374359607267,343590395,-1174362677,4
19,1374359653188,343504720,-1174451423,6
20,1374359700334,343865796,-1174115433,2274
21,1374359778613,343289839,-1174793752,2530
22,1374359838391,343289839,-1174793752,2530
23,1374359898650,343289839,-1174793752,2530
24,1374359958726,343289839,-1174793752,2530
25,1374360019575,342994067,-1174646286,3555
26,1374360078891,342698295,-1174498820,1493
27,1374360085042,342698295,-1174498820,1055
28,1374360145333,342534184,-1174378617,2132
29,1374360205103,342370073,-1174258415,2014
30,1374360265271,342370073,-1174258415,2014
31,1374360322664,342144363,-1174253336,2509
32,1374360379735,341918654,-1174248258,1500
33,1374360475208,341790703,-1174398372,1216
34,1374360538899,341790703,-1174398372,1216
35,1374360598930,341790703,-1174398372,1216
36,1374360659187,341790703,-1174398372,1216
37,1374360719843,341326940,-1175013280,1410
38,1374360725210,341326940,-1175013280,997
39,1374360815672,341035692,-1175348901,1235
40,1374360878915,341007120,-1175374786,1235
41,1374360939037,341007120,-1175374786,1235
42,1374360999173,341007150,-1175374507,1246
43,1374361059937,340710694,-1175470903,1120
44,1374361119435,340710694,-1175470903,1120
45,1374361165140,340758452,-1175522419,2
46,1374361210446,340752539,-1175522851,2
47,1374361279365,340710709,-1175470874,1117
48,1374361344331,340737182,-1175520966,21
49,1374361353501,340737242,-1175521090,15
50,1374361409099,340737324,-1175521444,20
51,1374361482533,340737309,-1175520140,35
52,1374361542784,340737613,-1175521439,20
53,1374361602791,340737245,-1175521280,23
54,1374361662778,340737291,-1175521419,20
55,1374361722907,340737292,-1175521415,24
56,1374361787172,340743318,-1175519370,33
57,1374361847034,340710694,-1175470903,1120
58,1374361907261,340710694,-1175470903,1120
59,1374361952697,340761847,-1175520470,2
60,1374361955716,340761837,-1175520508,2
61,1374362003713,340761826,-1175521356,12
62,1374362048710,340759286,-1175524175,2
63,1374362096405,340710709,-1175470874,1117
64,1374362161966,340710709,-1175470874,1117
65,1374362225578,340710709,-1175470874,1117
66,1374362285986,340681868,-1175552479,1304
67,1374362345665,340681868,-1175552479,1304
68,1374362405884,340681868,-1175552479,1304
69,1374362462578,340051388,-1175505042,37
70,1374362522601,339875051,-1175498130,37
71,1374362582375,339956935,-1175513201,1260
72,1374362646010,339956935,-1175513201,1260
73,1374362702637,339540901,-1175518367,3082
74,1374362707198,339540901,-1175518367,2179
75,1374362760704,339108491,-1175584050,25
76,1374362813749,338956949,-1175588779,18
77,1374362884007,338853864,-1175501877,1231
78,1374362944092,338803577,-1175455407,1575
79,1374363004279,338803577,-1175455407,1575
80,1374363067994,338802442,-1175456639,1595
81,1374363128661,338815819,-1175984534,43
82,1374363188659,338806040,-1176095260,36
83,1374363248839,338803577,-1175455407,1575
84,1374363309102,338819258,-1176229438,902
85,1374363314032,338819258,-1176229438,637
86,1374363370744,338864180,-1176457492,1567
87,1374363430726,338712382,-1176771094,1580
88,1374363494155,338712382,-1176771094,1580
89,1374363554579,338726957,-1176939421,1364
90,1374363611161,338651076,-1177157329,1231
91,1374363670933,338651076,-1177157329,1231
92,1374363731095,338651076,-1177157329,1231
93,1374363794712,338651076,-1177157329,1231
94,1374363855154,338651076,-1177157329,1231
95,1374363915220,338651076,-1177157329,1231
96,1374363973878,337709021,-1177592159,913
97,1374363980128,337709021,-1177592159,645
98,1374364036828,337709021,-1177592159,913
